"id","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"9DS0wMA9LbQ","6987","77","2","0","34"
"Ntosk72rQOw","16502","486","37","0","237"
"XkQfp2GmZH4","48925","1242","116","0","1052"
"X2TToh17Dk4","34257","624","63","0","193"
"-GMm28ASJx8","653618","26555","11920","0","14176"
"IKGBWNGiGMU","34011","1250","225","0","681"
"nY4CAcefgMw","13116","166","15","0","71"
"U4keB5za6Js","5732","213","23","0","31"
"MIwg9marj5Y","42238","1564","133","0","886"
"cIGTvnAspW0","24386","1594","63","0","531"
"GPYzAaJJAl0","14351","545","26","0","221"
"Xx08bfoWTsc","31077","1328","62","0","383"
"1Xr6_AerNDI","10918","104","15","0","42"
"oD0BT9kqXxI","14310","367","17","0","134"
"gHtyv8R7z2o","9026","147","8","0","31"
"cwgLczzn5gk","197371","2831","330","0","2244"
"tjGVxJWauVQ","9605","202","8","0","62"
"oL9S10Dazmg","9355","101","13","0","26"
"dt7UZH5m37M","20355","442","34","0","242"
"r8OeQcpAYJA","16327","258","22","0","90"
"7QG234o3LHA","91234","1000","228","0","835"
"5EfSWz7fnSo","17925","180","20","0","39"
"DtZDfEEFMfU","12332","477","58","0","75"
"M8611xuCxzY","27381","469","56","0","131"
"MBDVBrix3Ok","28986","1028","85","0","362"
"UybzT566yqY","22122","411","52","0","204"
"1omKZNZPjw8","23016","240","34","0","113"
"CNfwlNu_5mQ","15391","94","11","0","24"
"MxRZDuy5z5Y","5672","94","5","0","51"
"keauSoIKZas","15042","732","78","0","657"
"2xho8f8cnXQ","4228","61","6","0","16"
"2Bw6h1BxDM0","13585","394","13","0","236"
"yUr6KYEOY4w","30238","849","59","0","437"
"OS83XJzbDkU","11214","175","16","0","67"
"4T5WhIdoJ3A","17369","515","36","0","312"
"WeS1aFirg-0","11886","91","9","0","48"
"J9mNPk84oR0","11140","67","5","0","15"
"Nki9wWafteM","37392","1137","131","0","749"
"EXAXLOpo5Nk","10288","64","4","0","3"
"Uqs4M2D91_c","8226","239","19","0","180"
"_YBmkGEa5-I","75217","2668","279","0","1170"
"XvTQQTv_OOM","26728","644","27","0","89"
"xgloJ5csLMM","8523","105","5","0","21"
"RuRIsA3nQwE","22316","877","70","0","177"
"YgWLFBZzalk","228595","1037","249","0","836"
"KjcyeS3ISOw","14966","224","31","0","101"
"74t0z1FKeXM","62981","1881","351","0","1318"
"GHiRAx2iakk","8452","128","15","0","35"
"B4gfmHSnWi8","13942","87","6","0","23"
"6SYMD3xW_VM","6473","22","1","0","12"
"W6ZtJjWUEd0","79642","1424","164","0","1171"
"BF3FEJVpLLE","3828","37","3","0","12"
"E7gWMOJ08uM","8550","120","6","0","84"
"yczOABjIBrE","20474","967","39","0","580"
"wVB9kDK22xM","9692","134","12","0","55"
"QI4Ic4IS95E","23268","178","39","0","110"
"O6hMutT_AVI","31804","883","48","0","172"
"wUD7m1gmgpg","25318","447","32","0","155"
"WsR15PcPkCs","16303","516","70","0","175"
"fKFbKaKlEaM","10586","480","30","0","170"
"afsjg4XEpTs","16401","406","68","0","222"
"w7QkQ79Llj8","9905","226","12","0","81"
"H6hHTg0ysPA","10510","156","7","0","13"
"gNHppdtKg40","14980","390","32","0","91"
"gWu-k25eCd4","23752","681","81","0","277"
"3xD9NdBbEPM","11747","225","70","0","164"
"ww5DoyrsTh4","31996","1334","110","0","437"
"LnZ8z7xTar4","4837","86","4","0","63"
"_VTTBaF84ow","17364","153","21","0","37"
"zVDTXYUqM4w","10399","225","27","0","93"
"qGOD4HAatUg","198131","6906","2290","0","12519"
"lAGsPmDaQPA","44798","1466","127","0","653"
"zIcUh_HADo8","18473","342","61","0","183"
"QTwmBUOQ8ro","19347","579","26","0","135"
"3toUTUYuZ4M","8671","162","32","0","67"
"F-VE_cXzyX4","15612","127","16","0","28"
"pPuYwwt24xc","29345","342","54","0","258"
"cIE5gHZ4DHE","6613","162","8","0","51"
"c7PTmUzB4-k","17825","643","91","0","384"
"8TqBvJGXHF8","11433","116","13","0","40"
"HSg_mVAX57Q","6608","244","15","0","87"
"FnCIISyw-2M","7620","207","12","0","58"
"tPje5YkDIEI","13155","478","38","0","64"
"m8ZfsDE3OiE","36997","238","21","0","89"
"v4ujEIEfhbY","43859","972","100","0","244"
"KEqv2_jWYfM","47686","395","84","0","487"
"RKVIwZijwtU","5168","78","4","0","19"
"SoLHzg0PN_o","16433","97","18","0","37"
"XFARztGNJDo","81174","1887","259","0","830"
"SQ_sENuZljU","42927","652","146","0","379"
"UZgGbZd4BU0","15090","426","51","0","146"
"UdJP7QQyR0c","20345","859","99","0","914"
"w6id3FsSNfk","33758","387","75","0","347"
"3w48P6sYJ6o","33870","5298","53","0","2007"
"fbct6Or9k1g","144357","4518","311","0","1721"
"-cPBBamCo8k","20504","1465","32","0","551"
"9VfMVqDs-WA","23282","1383","52","0","884"
